00001,2014-12-30,04:06 PM,1,08:30 PM,50.0,AS-9875;
00002,2014-12-30,04:06 PM,2,09:04 PM,50.0,AA-7555;
00003,2014-12-30,09:10 PM,4,09:11 PM,50.0,BA-8632;
00004,2014-12-30,09:11 PM,5,07:46 AM,50.0,AS-6543;
00005,2015-01-07,09:03 PM,3,08:21 AM,50.0,ABS-5245;
00006,2015-01-13,07:32 AM,2,07:53 AM,50.0,AD-8675;
00007,2015-01-13,07:45 AM,1,08:11 AM,50.0,CD-6454;
00008,2015-01-13,08:10 AM,2,08:33 AM,50.0,AD-6543;
00009,2015-01-13,08:21 AM,1,08:47 AM,50.0,FD-7453;
00010,2015-01-13,08:47 AM,4,08:51 AM,50.0,AF-6466;
00011,2015-01-13,08:47 AM,2,09:15 AM,50.0,ADE-6454;
00012,2015-01-13,08:51 AM,3,11:59 AM,50.0,AD-7654;
00013,2015-01-13,09:07 AM,1,01:59 PM,50.0,AD-7643;
00014,2015-01-13,09:14 AM,4,11:59 AM,50.0,AD-7464;
00015,2015-01-13,11:54 AM,2,02:22 PM,50.0,ADA-5356;
00016,2015-01-13,01:59 PM,3,02:39 PM,50.0,AS-7654;
00017,2015-01-13,02:21 PM,1,02:36 PM,50.0,DE-8736;
00018,2015-01-13,02:21 PM,4,02:34 PM,50.0,SF-7454;
00019,2015-01-13,02:34 PM,2,02:43 PM,50.0,AD-7544;
00020,2015-01-13,02:36 PM,5,02:47 PM,50.0,FD-8565;
00021,2015-01-13,02:47 PM,2,Stil not leaved,50.0,Af-7464;
00022,2015-01-13,02:47 PM,1,Stil not leaved,50.0,FF-7647;
00023,2015-01-13,03:02 PM,3,Stil not leaved,50.0,Af-7565;
